iter	Passed	Remaining
581	6882	4942
582	6892	4930
583	6904	4918
584	6914	4905
585	6925	4892
586	6935	4879
587	6945	4866
588	6955	4853
589	6966	4840
590	6977	4828
591	6987	4815
592	6997	4802
593	7008	4790
594	7019	4777
595	7030	4765
596	7041	4753
597	7052	4740
598	7063	4728
599	7076	4717
600	7088	4705
601	7098	4693
602	7110	4681
603	7122	4669
604	7133	4657
605	7145	4645
606	7157	4634
607	7169	4622
608	7180	4610
609	7192	4598
610	7203	4586
611	7214	4574
612	7224	4561
613	7237	4550
614	7249	4538
615	7261	4526
616	7271	4513
617	7282	4501
618	7293	4489
619	7304	4477
620	7315	4464
621	7326	4452
622	7338	4440
623	7351	4429
624	7362	4417
625	7374	4405
626	7385	4393
627	7397	4381
628	7409	4370
629	7419	4357
630	7431	4345
631	7443	4334
632	7455	4322
633	7466	4310
634	7477	4298
635	7489	4286
636	7501	4274
637	7512	4262
638	7525	4251
639	7535	4238
640	7546	4226
641	7557	4214
642	7569	4202
643	7582	4191
644	7593	4179
645	7605	4167
646	7616	4155
647	7626	4143
648	7638	4130
649	7649	4119
650	7659	4106
651	7671	4094
652	7683	4083
653	7694	4071
654	7705	4058
655	7717	4046
656	7728	4034
657	7741	4023
658	7754	4012
659	7767	4001
660	7780	3990
661	7792	3978
662	7805	3967
663	7817	3955
664	7830	3944
665	7842	3933
666	7855	3921
667	7867	3910
668	7879	3898
669	7892	3887
670	7904	3875
671	7917	3864
672	7930	3853
673	7944	3842
674	7958	3831
675	7970	3820
676	7981	3808
677	7995	3797
678	8008	3786
679	8021	3774
680	8034	3763
681	8048	3752
682	8064	3742
683	8080	3733
684	8092	3721
685	8105	3709
686	8119	3699
687	8133	3688
688	8144	3676
689	8156	3664
690	8169	3653
691	8181	3641
692	8194	3630
693	8206	3618
694	8217	3606
695	8228	3593
696	8240	3582
697	8250	3569
698	8262	3558
699	8274	3546
700	8284	3533
701	8297	3522
702	8309	3510
703	8320	3498
704	8331	3486
705	8342	3474
706	8353	3462
707	8365	3450
708	8378	3438
709	8388	3426
710	8398	3413
711	8409	3401
712	8421	3389
713	8433	3377
714	8445	3366
715	8457	3354
716	8468	3342
717	8480	3330
718	8491	3318
719	8503	3306
720	8514	3294
721	8525	3282
722	8536	3270
723	8547	3258
724	8558	3246
725	8570	3234
726	8581	3222
727	8591	3209
728	8602	3198
729	8614	3186
730	8624	3173
731	8635	3161
732	8647	3149
733	8657	3137
734	8669	3125
735	8680	3113
736	8691	3101
737	8701	3089
738	8712	3077
739	8723	3065
740	8736	3053
741	8748	3041
742	8760	3030
743	8769	3017
744	8780	3005
745	8792	2993
746	8803	2981
747	8813	2969
748	8825	2957
749	8835	2945
750	8845	2932
751	8858	2921
752	8869	2909
753	8881	2897
754	8894	2886
755	8907	2875
756	8920	2863
757	8933	2852
758	8945	2840
759	8957	2828
760	8969	2816
761	8979	2804
762	8991	2792
763	9003	2781
764	9014	2769
765	9027	2757
766	9038	2745
767	9050	2733
768	9063	2722
769	9077	2711
770	9087	2699
771	9100	2687
772	9111	2675
773	9123	2663
774	9136	2652
775	9148	2640
776	9161	2629
777	9172	2617
778	9182	2605
779	9196	2593
780	9207	2581
781	9220	2570
782	9233	2558
783	9246	2547
784	9261	2536
785	9275	2525
786	9288	2513
787	9300	2502
788	9312	2490
789	9325	2478
790	9336	2466
791	9347	2454
792	9359	2443
793	9371	2431
794	9383	2419
795	9394	2407
796	9406	2395
797	9418	2384
798	9429	2372
799	9441	2360
800	9451	2348
801	9460	2335
802	9471	2323
803	9482	2311
804	9494	2299
805	9505	2287
806	9516	2276
807	9528	2264
808	9538	2251
809	9550	2240
810	9560	2228
811	9571	2216
812	9584	2204
813	9594	2192
814	9605	2180
815	9617	2168
816	9629	2156
817	9640	2144
818	9652	2133
819	9663	2121
820	9674	2109
821	9685	2097
822	9697	2085
823	9708	2073
824	9720	2061
825	9731	2049
826	9743	2038
827	9754	2026
828	9764	2014
829	9776	2002
830	9787	1990
831	9797	1978
832	9809	1966
833	9820	1954
834	9832	1942
835	9843	1931
836	9854	1919
837	9866	1907
838	9876	1895
839	9889	1883
840	9899	1871
841	9909	1859
842	9920	1847
843	9930	1835
844	9943	1823
845	9954	1812
846	9965	1800
847	9977	1788
848	9988	1776
849	9999	1764
850	10010	1752
851	10022	1740
852	10033	1729
853	10045	1717
854	10056	1705
855	10067	1693
856	10079	1681
857	10090	1670
858	10101	1658
859	10113	1646
860	10123	1634
861	10134	1622
862	10147	1610
863	10159	1599
864	10170	1587
865	10182	1575
866	10195	1564
867	10207	1552
868	10219	1540
869	10230	1528
870	10243	1517
871	10256	1505
872	10270	1494
873	10282	1482
874	10293	1470
875	10305	1458
876	10319	1447
877	10332	1435
878	10343	1423
879	10356	1412
880	10367	1400
881	10379	1388
882	10392	1377
883	10405	1365
884	10417	1353
885	10428	1341
886	10441	1330
887	10453	1318
888	10466	1306
889	10478	1295
890	10489	1283
891	10502	1271
892	10514	1259
893	10526	1248
894	10536	1236
895	10548	1224
896	10561	1212
897	10573	1201
898	10585	1189
899	10598	1177
900	10609	1165
901	10621	1154
902	10635	1142
903	10647	1130
904	10659	1118
905	10671	1107
906	10682	1095
907	10694	1083
908	10705	1071
909	10715	1059
910	10727	1048
911	10738	1036
912	10750	1024
913	10760	1012
914	10773	1000
915	10784	988
916	10795	977
917	10806	965
918	10817	953
919	10827	941
920	10839	929
921	10851	918
922	10862	906
923	10874	894
924	10886	882
925	10898	870
926	10908	859
927	10920	847
928	10930	835
929	10940	823
930	10952	811
931	10963	799
932	10974	788
933	10985	776
934	10996	764
935	11007	752
936	11018	740
937	11029	729
938	11040	717
939	11051	705
940	11063	693
941	11073	681
942	11084	669
943	11096	658
944	11108	646
945	11119	634
946	11129	622
947	11140	611
948	11151	599
949	11162	587
950	11174	575
951	11186	564
952	11197	552
953	11209	540
954	11219	528
955	11229	516
956	11240	505
957	11249	493
958	11259	481
959	11271	469
960	11281	457
961	11291	446
962	11302	434
963	11311	422
964	11322	410
965	11332	398
966	11342	387
967	11353	375
968	11363	363
969	11374	351
970	11384	340
971	11394	328
972	11405	316
973	11416	304
974	11426	292
975	11437	281
976	11448	269
977	11458	257
978	11469	246
979	11480	234
980	11490	222
981	11501	210
982	11512	199
983	11523	187
984	11534	175
985	11546	163
986	11556	152
987	11567	140
988	11578	128
989	11588	117
990	11599	105
991	11611	93
992	11622	81
993	11633	70
994	11644	58
995	11657	46
996	11668	35
997	11679	23
998	11690	11
999	11701	0
